NAME,CATEGORY,PROVINCE,LAT,LON,DESCRIPTION
ruộng,Quán Cà phê / Check-in,Bắc Ninh,21.182711,106.071639,Quán Cà phê / Check-in tại Phố Lý Chiêu Hoàng
An Nhien Garden,Nhà hàng ẩm thực,Việt Nam,16.49358,107.599453,Nhà hàng ẩm thực tại Việt Nam
Cafe Lavander,Quán Cà phê / Check-in,Việt Nam,16.046653,108.22807,Quán Cà phê / Check-in tại Việt Nam
Quán Cơm Bình Dân 2 Phụng,Nhà hàng ẩm thực,Việt Nam,11.205495,106.570046,Nhà hàng ẩm thực tại Việt Nam
Nhà Văn Hóa Thôn Thế Trụ,Trung tâm văn hóa,Việt Nam,20.971424,105.618737,Trung tâm văn hóa tại Việt Nam
Đình Làng Thế Trụ,Di tích tôn giáo / Chùa / Đền,Việt Nam,20.972324,105.618689,Di tích tôn giáo / Chùa / Đền tại Việt Nam
Green Karst,Nhà hàng ẩm thực,Việt Nam,23.277387,105.359284,Nhà hàng ẩm thực tại Việt Nam
Hong Phúc 2,Nhà hàng ẩm thực,Việt Nam,15.876496,108.327978,Nhà hàng ẩm thực tại Nguyễn Thái Học
Banh Hoi Mat Vlng ÚT DZÁCH,Nhà hàng ẩm thực,Việt Nam,9.966033,105.673548,Nhà hàng ẩm thực tại Việt Nam
Sân Mây Huế,Nhà hàng ẩm thực,Việt Nam,16.482573,107.597099,Nhà hàng ẩm thực tại Thanh Tịnh
Chùa Đỏ,Di tích tôn giáo / Chùa / Đền,Việt Nam,20.975191,105.783403,"Di tích tôn giáo / Chùa / Đền tại Ngõ 217 Trần Phú, phường Văn Quán, quận Hà Đông, thành phố Hà Nội"
Dimsum ba thim - dumplings,Quán Cà phê / Check-in,Việt Nam,16.058474,108.219064,Quán Cà phê / Check-in tại Đường Phan Châu Trinh
Meow Kiosk,Quán Cà phê / Check-in,Việt Nam,12.242009,109.184642,Quán Cà phê / Check-in tại An Dương Vương
Tree House Ong Lang Beach,Quán Cà phê / Check-in,Việt Nam,10.260349,103.93822,Quán Cà phê / Check-in tại Việt Nam
Classic Coffee,Quán Cà phê / Check-in,Việt Nam,15.892824,108.345179,Quán Cà phê / Check-in tại Việt Nam
Shamballa,Nhà hàng ẩm thực,Việt Nam,16.075616,108.229039,Nhà hàng ẩm thực tại Việt Nam
Trần Văn Tóc,Di tích tôn giáo / Chùa / Đền,Việt Nam,15.858327,108.349691,Di tích tôn giáo / Chùa / Đền tại Việt Nam
Alex,Nhà hàng ẩm thực,Việt Nam,10.952642,108.253058,Nhà hàng ẩm thực tại Việt Nam
Risotto Restaurant,Nhà hàng ẩm thực,Việt Nam,16.47193,107.595593,Nhà hàng ẩm thực tại Nguyen Cong Tru
Highlands Coffee,Quán Cà phê / Check-in,Việt Nam,10.730131,106.722302,Quán Cà phê / Check-in tại Việt Nam
Nhà Hàng Chay Huế An,Nhà hàng ẩm thực,Việt Nam,16.424657,107.581193,Nhà hàng ẩm thực tại Việt Nam
HÀ - Acoustic Coffee,Quán Cà phê / Check-in,Việt Nam,10.797859,106.672798,Quán Cà phê / Check-in tại 178A Nguyễn Trọng Tuyển
Đình làng Thọ Khê,Di tích tôn giáo / Chùa / Đền,Bắc Ninh,21.165685,105.953112,Di tích tôn giáo / Chùa / Đền tại Bắc Ninh
Now Coffee,Quán Cà phê / Check-in,Việt Nam,11.935494,108.429831,Quán Cà phê / Check-in tại Việt Nam
Thu Phuong 2,Nhà hàng ẩm thực,Việt Nam,10.266153,103.934203,Nhà hàng ẩm thực tại Việt Nam
Vinasea Restaurant,Nhà hàng ẩm thực,Việt Nam,10.946487,108.199304,Nhà hàng ẩm thực tại Việt Nam
NEM,Nhà hàng ẩm thực,Việt Nam,10.946534,108.199464,Nhà hàng ẩm thực tại Việt Nam
Song VẬN quán,Nhà hàng ẩm thực,Việt Nam,10.947653,108.201854,Nhà hàng ẩm thực tại Việt Nam
Bluish Cafe,Quán Cà phê / Check-in,Việt Nam,10.809249,106.733455,Quán Cà phê / Check-in tại Trúc Đường
objoff,Quán Cà phê / Check-in,Việt Nam,10.811677,106.7348,Quán Cà phê / Check-in tại Đường Số 4
Hủ tíu chay Quý Thuận,Nhà hàng ẩm thực,Việt Nam,10.349841,106.4775,Nhà hàng ẩm thực tại Việt Nam
Cà Phê Sài Gòn Xưa Bà Pèo,Quán Cà phê / Check-in,Việt Nam,10.80058,106.650462,Quán Cà phê / Check-in tại Việt Nam
Nhà hàng Bến Tàu,Quán Cà phê / Check-in,Việt Nam,15.899954,108.357602,Quán Cà phê / Check-in tại Việt Nam
Bêp Cúa Bò Sông Quán,Nhà hàng ẩm thực,Việt Nam,11.065091,106.529175,Nhà hàng ẩm thực tại Việt Nam
Nhà hàng Ớt Đỏ,Quán Cà phê / Check-in,Việt Nam,15.900551,108.356767,Quán Cà phê / Check-in tại Việt Nam
Cross Coffee,Quán Cà phê / Check-in,Việt Nam,16.04189,108.246025,Quán Cà phê / Check-in tại Đường Trần Văn Dư
Miếu Hai Cô,Di tích tôn giáo / Chùa / Đền,Việt Nam,21.045811,105.856991,Di tích tôn giáo / Chùa / Đền tại Việt Nam
Red River Birdgarden Café,Quán Cà phê / Check-in,Việt Nam,21.054112,105.849526,Quán Cà phê / Check-in tại Việt Nam
Chợ Cầu Ngang,Chợ truyền thống,Việt Nam,9.796889,106.451605,Chợ truyền thống tại Việt Nam
Herbal House,Nhà hàng ẩm thực,Việt Nam,10.25627,103.944272,Nhà hàng ẩm thực tại Việt Nam
Bella Outdoor Pizzeria,Nhà hàng ẩm thực,Việt Nam,10.263834,103.942863,Nhà hàng ẩm thực tại Đường tỉnh 45
K8 Cafe,Quán Cà phê / Check-in,Việt Nam,10.245923,103.987273,Quán Cà phê / Check-in tại Việt Nam
Chat Cafe,Quán Cà phê / Check-in,Việt Nam,10.245224,103.987147,Quán Cà phê / Check-in tại Việt Nam
Dê Tùng xẻo k8,Nhà hàng ẩm thực,Việt Nam,10.24485,103.986699,Nhà hàng ẩm thực tại Việt Nam
Sun coffe,Quán Cà phê / Check-in,Việt Nam,10.244614,103.986652,Quán Cà phê / Check-in tại Việt Nam
Quán Cơm Cây Sao,Nhà hàng ẩm thực,Việt Nam,10.243688,103.986992,Nhà hàng ẩm thực tại Việt Nam
CHẢ LỤA PHƯƠNG TRƯỜNG,Nhà hàng ẩm thực,Việt Nam,10.235794,104.007664,Nhà hàng ẩm thực tại Việt Nam
Hồ Sỹ Sơn,Nhà hàng ẩm thực,Việt Nam,10.234198,103.994811,Nhà hàng ẩm thực tại Việt Nam
Quán Ăn Hai Lúa,Nhà hàng ẩm thực,Việt Nam,10.233229,103.993362,Nhà hàng ẩm thực tại Việt Nam
Hoa Giấy Coffee,Quán Cà phê / Check-in,Việt Nam,10.232424,103.992723,Quán Cà phê / Check-in tại Việt Nam
Quán Ăn Cẩm Tiên,Nhà hàng ẩm thực,Việt Nam,10.232413,103.992472,Nhà hàng ẩm thực tại Việt Nam
Phở Hà Nội,Nhà hàng ẩm thực,Việt Nam,10.232307,103.99225,Nhà hàng ẩm thực tại Việt Nam
Balo coffee,Quán Cà phê / Check-in,Việt Nam,10.23225,103.992193,Quán Cà phê / Check-in tại Việt Nam
Lươn Xứ Nghệ BN,Nhà hàng ẩm thực,Việt Nam,10.230961,103.989293,Nhà hàng ẩm thực tại Việt Nam
BEANS coffee & tea,Quán Cà phê / Check-in,Việt Nam,10.231133,103.990972,Quán Cà phê / Check-in tại Việt Nam
Quán Gia Truyền Nam Định,Nhà hàng ẩm thực,Việt Nam,10.230954,103.989734,Nhà hàng ẩm thực tại Việt Nam
Ẩm thực Nhà Sàn Phú Quốc,Nhà hàng ẩm thực,Việt Nam,10.230705,103.996763,Nhà hàng ẩm thực tại Việt Nam
SimbaFoodtruck,Quán Cà phê / Check-in,Việt Nam,10.229698,103.995326,Quán Cà phê / Check-in tại Việt Nam
Vựa gà Quí,Nhà hàng ẩm thực,Việt Nam,10.218142,103.992867,Nhà hàng ẩm thực tại Việt Nam
Quán Ăn THÙY DUYÊN,Nhà hàng ẩm thực,Việt Nam,10.221576,103.989815,Nhà hàng ẩm thực tại Việt Nam
Cafe Linh Đan,Quán Cà phê / Check-in,Việt Nam,10.224223,103.989701,Quán Cà phê / Check-in tại Việt Nam
Bun Cha & Bun Dau Mam Tom Hanoi,Nhà hàng ẩm thực,Việt Nam,10.21476,103.961943,Nhà hàng ẩm thực tại Việt Nam
Com Tam,Quán Cà phê / Check-in,Việt Nam,16.086865,108.243429,Quán Cà phê / Check-in tại Việt Nam
Nhà Hàng Moto-san,Nhà hàng ẩm thực,Hà Nội,21.025413,105.857749,Nhà hàng ẩm thực tại Lý Đạo Thành
Chợ Bình Khánh,Chợ truyền thống,Việt Nam,10.786623,106.738372,Chợ truyền thống tại Việt Nam
Bánh Đúc Nóng - Trung Tự,Nhà hàng ẩm thực,Việt Nam,21.008856,105.833754,Nhà hàng ẩm thực tại Việt Nam
Katinat - Nguyễn Bỉnh Khiêm 2,Quán Cà phê / Check-in,Việt Nam,10.792222,106.69979,Quán Cà phê / Check-in tại Nguyễn Bỉnh Khiêm
Quán Cơm 39,Nhà hàng ẩm thực,Bà Rịa - Vũng Tàu,10.59696,107.063395,Nhà hàng ẩm thực tại Trường Chinh (Đường 81 cũ)
Nhà Hàng New Sake 1,Nhà hàng ẩm thực,Việt Nam,21.030786,105.819421,Nhà hàng ẩm thực tại Việt Nam
Nhà Hàng Mộc Chay,Nhà hàng ẩm thực,Việt Nam,21.045452,105.815567,Nhà hàng ẩm thực tại Việt Nam
Nhan Com Dat,Nhà hàng ẩm thực,Việt Nam,23.066028,104.990069,Nhà hàng ẩm thực tại Việt Nam
Doàn Liêu,Nhà hàng ẩm thực,Việt Nam,22.951387,105.681568,Nhà hàng ẩm thực tại Việt Nam
Chè Như Ý,Nhà hàng ẩm thực,Việt Nam,11.941679,108.433381,Nhà hàng ẩm thực tại Ba Tháng Hai
2 số dựng xây liệu vật doanhkinh kinh dod kinh Hàng Hang Của,Nhà hàng ẩm thực,Việt Nam,21.655735,105.831358,Nhà hàng ẩm thực tại Việt Nam
Kissa House,Quán Cà phê / Check-in,Việt Nam,12.23995,109.192321,Quán Cà phê / Check-in tại Việt Nam
Cà Phê MVTTS,Quán Cà phê / Check-in,Việt Nam,21.028499,105.848419,Quán Cà phê / Check-in tại Nhà Thờ
Chè mai,Nhà hàng ẩm thực,Việt Nam,10.792915,106.639587,Nhà hàng ẩm thực tại Việt Nam
Ocean Star,Khách sạn / Nghỉ dưỡng,Việt Nam,16.072556,108.201123,Khách sạn / Nghỉ dưỡng tại Việt Nam
Khách Sạn Nguyêt Hà,Khách sạn / Nghỉ dưỡng,Thành Phố Hồ Chí Minh,10.797125,106.691768,Khách sạn / Nghỉ dưỡng tại Phan Xích Long
Louis luxury apartments,Khách sạn / Nghỉ dưỡng,Việt Nam,16.047075,108.222153,Khách sạn / Nghỉ dưỡng tại Việt Nam
Ninh Binh Mountain View Homestay,Homestay du lịch,Việt Nam,20.277311,105.870522,Homestay du lịch tại Việt Nam
Oyo 271 apartment,Khách sạn / Nghỉ dưỡng,Việt Nam,12.267423,109.197413,Khách sạn / Nghỉ dưỡng tại Chử Đồng Tử
AC Building,Homestay du lịch,Việt Nam,21.032552,105.783382,Homestay du lịch tại Việt Nam
Queen Cobra,Điểm tham quan du lịch,Việt Nam,16.043299,108.22599,Điểm tham quan du lịch tại Việt Nam
International Hotel,Khách sạn / Nghỉ dưỡng,Việt Nam,21.162665,106.046312,Khách sạn / Nghỉ dưỡng tại Việt Nam
paradise valley,Điểm tham quan du lịch,Việt Nam,20.765389,107.078042,Điểm tham quan du lịch tại Việt Nam
Sanouva Danang Hotel,Khách sạn / Nghỉ dưỡng,Đà Nẵng,16.066985,108.220137,Khách sạn / Nghỉ dưỡng tại Đường Phan Châu Trinh
SAMI Coffee Hotel,Khách sạn / Nghỉ dưỡng,Việt Nam,17.478093,106.621885,Khách sạn / Nghỉ dưỡng tại Đường Dương Văn An
Dr. Dan Hotel & Apartment,Khách sạn / Nghỉ dưỡng,Việt Nam,16.105513,108.25948,Khách sạn / Nghỉ dưỡng tại Việt Nam
New Day,Khách sạn / Nghỉ dưỡng,Việt Nam,16.104614,108.257255,Khách sạn / Nghỉ dưỡng tại Việt Nam
Nami's Viewpoint.,Điểm ngắm cảnh thiên nhiên,Việt Nam,23.247161,105.395412,Điểm ngắm cảnh thiên nhiên tại Việt Nam
Thác Cây Đu,Điểm tham quan du lịch,Việt Nam,13.48878,109.17851,Điểm tham quan du lịch tại 644
Ha Thin,Homestay du lịch,Việt Nam,20.661689,105.066247,Homestay du lịch tại Việt Nam
The awesome instagram photo on the boat,Điểm ngắm cảnh thiên nhiên,Việt Nam,23.237323,105.418422,Điểm ngắm cảnh thiên nhiên tại Việt Nam
V Hotel Nha Trang,Khách sạn / Nghỉ dưỡng,Việt Nam,12.241809,109.194555,"Khách sạn / Nghỉ dưỡng tại 8 Hùng Vương, Lộc Thọ, Nha Trang, Khánh Hòa 650000"
Biệt Thự Hằng Nga,Khách sạn / Nghỉ dưỡng,Việt Nam,11.934689,108.43074,Khách sạn / Nghỉ dưỡng tại Việt Nam
Muong Thanh Holiday Da Lat Hotel,Khách sạn / Nghỉ dưỡng,Đà Lạt,11.943752,108.439997,Khách sạn / Nghỉ dưỡng tại Phan Bội Châu
Jade Hill Resort & Spa,Khách sạn / Nghỉ dưỡng,Việt Nam,22.324389,103.854546,Khách sạn / Nghỉ dưỡng tại Việt Nam
Arina Hotel,Khách sạn / Nghỉ dưỡng,Việt Nam,11.319709,106.100877,Khách sạn / Nghỉ dưỡng tại Việt Nam
H&A House 158,Khách sạn / Nghỉ dưỡng,Việt Nam,10.24584,103.986845,Khách sạn / Nghỉ dưỡng tại Việt Nam
Waterfall Phú Quốc Homestay,Khách sạn / Nghỉ dưỡng,Việt Nam,10.233159,103.993575,Khách sạn / Nghỉ dưỡng tại Việt Nam
Nhà nghỉ Minh nghĩa 1,Khách sạn / Nghỉ dưỡng,Việt Nam,10.23493,103.992925,Khách sạn / Nghỉ dưỡng tại Việt Nam
Nhà nghỉ PHÚ AN BÌNH,Khách sạn / Nghỉ dưỡng,Việt Nam,10.233206,103.990737,Khách sạn / Nghỉ dưỡng tại Việt Nam
Phu Quoc Blue Hotel,Khách sạn / Nghỉ dưỡng,Việt Nam,10.231351,103.9923,Khách sạn / Nghỉ dưỡng tại Việt Nam
CENTER PHÚ QUỐC,Khách sạn / Nghỉ dưỡng,Việt Nam,10.2311,103.991491,Khách sạn / Nghỉ dưỡng tại Việt Nam
Cliffside House,Khách sạn / Nghỉ dưỡng,Việt Nam,23.281803,105.362987,Khách sạn / Nghỉ dưỡng tại Việt Nam
VIET VILLAGE HOTEL,Khách sạn / Nghỉ dưỡng,Hà Nội,21.204441,105.830219,Khách sạn / Nghỉ dưỡng tại Võ Nguyên Giáp
Khách Sạn Morning Star,Khách sạn / Nghỉ dưỡng,Hà Nội,21.031707,105.850754,Khách sạn / Nghỉ dưỡng tại Hà Nội
Khách Sạn Mỹ Vân,Khách sạn / Nghỉ dưỡng,Việt Nam,21.017926,105.854443,Khách sạn / Nghỉ dưỡng tại Phố Lê Văn Hưu
Nhà Hàng Minh Chay Vegan,Nhà hàng ẩm thực,Việt Nam,21.032068,105.850289,Nhà hàng ẩm thực tại Việt Nam
Cà Phê Lutulata Desserts and Drinks,Quán Cà phê / Check-in,Việt Nam,21.03745,105.847236,Quán Cà phê / Check-in tại Hàng Cót
Cà Phê Maxx,Quán Cà phê / Check-in,Hà Nội,21.037783,105.772169,Quán Cà phê / Check-in tại Lê Đức Thọ
Miếu Làng Bằng A,Di tích tôn giáo / Chùa / Đền,Hanoi,20.963558,105.819165,Di tích tôn giáo / Chùa / Đền tại Phố Bằng Liệt
Cửa Hàng Mihimihi,Nhà hàng ẩm thực,Việt Nam,21.031096,105.848943,Nhà hàng ẩm thực tại Việt Nam
Cà Phê Ma Xo,Quán Cà phê / Check-in,Việt Nam,21.045537,105.840193,Quán Cà phê / Check-in tại Việt Nam
Cà Phê Lofita,Quán Cà phê / Check-in,Việt Nam,21.029034,105.848986,Quán Cà phê / Check-in tại Phố Ấu Triệu
Nhà Hàng Minh Chay,Nhà hàng ẩm thực,Việt Nam,21.035649,105.853456,Nhà hàng ẩm thực tại Việt Nam
coffee 6A,Nhà hàng ẩm thực,Việt Nam,16.464795,107.588614,Nhà hàng ẩm thực tại Việt Nam
NHÀ HÀNG THĂNG LONG - ĐẶC SẢN DÊ NÚI NINH BÌNH,Nhà hàng ẩm thực,Ninh Bình,20.289597,105.889124,Nhà hàng ẩm thực tại Tràng An
Hoàng,Nhà hàng ẩm thực,Việt Nam,10.219057,103.958209,Nhà hàng ẩm thực tại Việt Nam
Quet Diem Coffee,Quán Cà phê / Check-in,Việt Nam,10.804919,106.680659,Quán Cà phê / Check-in tại Việt Nam
Com Tam,Quán Cà phê / Check-in,Việt Nam,21.391443,103.014866,Quán Cà phê / Check-in tại Việt Nam
Harry Potter Coffee,Quán Cà phê / Check-in,Việt Nam,11.955834,108.471975,Quán Cà phê / Check-in tại Ngô Văn Sở
Tiệm Chay Tía Tô,Nhà hàng ẩm thực,Việt Nam,13.78151,109.228591,Nhà hàng ẩm thực tại Cao Bá Quát
Nhà Hàng Chay Mihn,Nhà hàng ẩm thực,Việt Nam,21.028421,105.848346,Nhà hàng ẩm thực tại Phố Ấu Triệu
